"nombreSuc","ciudadSuc","activo","nombreEmp","dniEmp","telefono","nombreSuc"
"Downtown","Brooklyn","9000000","Kortz","11","111111","Downtown"
"Downtown","Brooklyn","9000000","Smith","10","101010","Downtown"
"Redwood","Palo Alto","2100000","null","null","null","null"
"Perrydge","Horseneck","1700000","Dubitzky","13","131313","Perrydge"
"Perrydge","Horseneck","1700000","Hansen","12","121212","Perrydge"
"Mianus","Horseneck","400000","Henson","14","141414","Mianus"
"Round Hill","Horseneck","8000000","null","null","null","null"
"Pownal","Bennington","300000","null","null","null","null"
"North Town","Rye","3700000","null","null","null","null"
"Brighton","Brooklyn","7100000","Kravitz","15","151515","Brighton"
"Almeria","null","900000","null","null","null","null"
